Modbus address,Object designation ,WPMsystem,WPM 3,WPM 3i,Comments,Min. value,Max. value,Data type,Unit,Write/ read (w/r),Suffix
4001,SWITCH SG READY ON AND OFF,x,x,x,,0,1,6,,r/w,
4002,SG READY INPUT 1,x,x,x,,0,1,6,,r/w,
4003,SG READY INPUT 2,x,x,x,,0,1,6,,r/w,
4250,SG Ready ENABLED,x,x,x,SG Ready enabled,,,6,,r/w,
4251,SG-READY INPUT,x,x,x,SG-READY input,,,6,,r/w,
4252,HEATING BUFFER,x,x,x,Heating buffer,,,6,,r/w,
4254,LOAD TEMPERATURE HC1 /,x,x,x,Load temperature HC1,,,2,°C,,
4255,LOAD TEMPERATURE HC2,x,x,x,Load temperature HC2,,,2,°C,r/w,
4256,LOAD TEMPERATURE DHW,x,x,x,Load temperature DHW,,,2,°C,r/w,
4258,INPUT MODE,x,x,x,Input mode,,,6,,r/w,
4259,POWER LIMIT,x,x,x,Power limit,,,6,,r/w,
4272,LOAD TEMPERATURE HC1 /,x,x,x,Load temperature HC1,,,2,°C,,
4273,LOAD TEMPERATURE HC2,x,x,x,Load temperature HC2,,,2,°C,r/w,
4274,LOAD TEMPERATURE HC3,x,x,x,Load temperature HC3,,,2,°C,r/w,
4275,LOAD TEMPERATURE HC4,x,x,x,Load temperature HC4,,,2,°C,r/w,
4276,LOAD TEMPERATURE HC5,x,x,x,Load temperature HC5,,,2,°C,r/w,
4277,LOAD TEMPERATURE BUFFER,x,x,x,Load temperature buffer,,,2,°C,r/w,
4278,LOAD TEMPERATURE DHW,x,x,x,Load temperature DHW,,,2,°C,r/w,
